Ticker,Name
UCALFUEL,UCAL FUEL SYSTEMS LTD.
HARRMALAYA,HARRISONS MALAYALAM LTD.
FEDERALBNK,FEDERAL BANK LTD.
TATASTEEL,TATA STEEL LTD.
SKFINDIA,SKF India Ltd
ASHOKLEY,ASHOK LEYLAND LTD.
CUMMINSIND,CUMMINS INDIA LTD.
TATACOMM,TATA COMMUNICATIONS LTD.
ABBOTINDIA,ABBOTT INDIA LTD.
BAJAJHLDNG,BAJAJ HOLDINGS &amp; INVESTMENT LTD.
BHARATFORG,BHARAT FORGE LTD.
ESCORTS,ESCORTS LTD.
HINDMOTORS,HINDUSTAN MOTORS LTD.
LT,LARSEN &amp; TOUBRO LTD.
M&amp;M,MAHINDRA &amp; MAHINDRA LTD.
BOSCHLTD,BOSCH LTD.
PREMIER,PREMIER LTD.
BPCL,BHARAT PETROLEUM CORPORATION LTD.
SIEMENS,SIEMENS LTD.
TATAMOTORS,TATA MOTORS LTD.
VOLTAS,VOLTAS LTD.
GESHIP,GREAT EASTERN SHIPPING CO.LTD.
DEEPAKFERT,DEEPAK FERTILISERS &amp; PETROCHEMICALS CORPORATION LTD.
EXCELINDUS,EXCEL INDUSTRIES LTD.
GARWARPOLY,GARWARE POLYESTER LTD.
GLAXO,GLAXOSMITHKLINE PHARMACEUTICALS LTD.
GNFC,GUJARAT NARMADA VALLEY FERTILIZERS &amp; CHEMICALS LTD.
NOVARTIND,NOVARTIS INDIA LTD.
SANOFI,Sanofi India Ltd
GSKCONS,GLAXOSMITHKLINE CONSUMER HEALTHCARE LTD.
PFIZER,PFIZER LTD.
GSFC,GUJARAT STATE FERTILIZERS &amp; CHEMICALS LTD.
HINDUNILVR,HINDUSTAN UNILEVER LTD.
AKZOINDIA,Akzo Nobel India Limited
NOCIL,NOCIL LTD.
TATACHEM,TATA CHEMICALS LTD.
TNPETRO,TAMILNADU PETROPRODUCTS LTD.
ZUARIGLOB,ZUARI GLOBAL LTD.
NESTLEIND,NESTLE INDIA LTD.
TATAGLOBAL,Tata Global Beverages Limited
ASIANPAINT,ASIAN PAINTS LTD.
BRITANNIA,BRITANNIA INDUSTRIES LTD.
COLPAL,COLGATE-PALMOLIVE (INDIA) LTD.
EIHOTEL,EIH LTD.
INDHOTEL,INDIAN HOTELS CO.LTD.
CASTROLIND,CASTROL INDIA LTD.
ITC,ITC LTD.
APOLLOTYRE,APOLLO TYRES LTD.
CEATLTD,CEAT LTD.
MODIRUBBER,MODI RUBBER LTD.
FINOLEXIND,FINOLEX INDUSTRIES LTD.
VALUEIND,VALUE INDUSTRIES LTD.
SBBJ,STATE BANK OF BIKANER &amp; JAIPUR
SUNRINV,SUNRISE INDUSTRIAL TRADERS LTD.
ZGOLDINV,GOLD ROCK INVESTMENTS LTD.
PEOPLIN,PEOPLES INVESTMENTS LTD.
DSINVEST,DALAL STREET INVESTMENTS LTD.
CENTRUM,CENTRUM CAPITAL LTD.
KARTKIN,KARTIK INVESTMENTS TRUST LTD.
ROSEI,ROSE INVESTMENTS LTD.
ZSURYODI,SURYODAYA INVESTMENT &amp; TRADING COMPANY LTD.
OSCAR,OSCAR INVESTMENTS LTD.
TCIFINANCE,TCI FINANCE LTD.
KRATOSENER,KRATOS ENERGY &amp; INFRASTRUCTURE LTD.
ZCHANAIN,CHANAKYA INVESTMENTS LTD.
IITL,INDUSTRIAL INVESTMENT TRUST LTD.
INDPRUD,INDUSTRIAL &amp; PRUDENTIAL INVESTMENTS CO.LTD.
TATAINVEST,TATA INVESTMENT CORPORATION LTD.
JAYBHCR,JAYABHARAT CREDIT LTD.-$
